Response_allseq,Period,Treatment,Gene
2.096504756,per3,trt1,Gene7
1.589274517,per3,trt1,Gene8
2.803045138,per3,trt1,Gene9
2.886193087,per3,trt1,Gene10
3.478445093,per1,trt3,Gene1
2.502847394,per1,trt3,Gene2
1.888815321,per1,trt3,Gene3
3.221117649,per1,trt3,Gene4
3.475160129,per1,trt3,Gene5
2.335483256,per1,trt3,Gene6
2.296683522,per1,trt3,Gene7
1.431991943,per1,trt3,Gene8
2.691315287,per1,trt3,Gene9
3.036819795,per1,trt3,Gene10
3.513657492,per2,trt2,Gene1
2.386162553,per2,trt2,Gene2
1.875540249,per2,trt2,Gene3
3.124420782,per2,trt2,Gene4
3.470108613,per2,trt2,Gene5
2.111224995,per2,trt2,Gene6
1.845863347,per2,trt2,Gene7
1.516988386,per2,trt2,Gene8
2.642121605,per2,trt2,Gene9
2.809387689,per2,trt2,Gene10
3.486292185,per3,trt1,Gene1
2.58166217,per3,trt1,Gene2
2.04269336,per3,trt1,Gene3
3.237329674,per3,trt1,Gene4
3.448233616,per3,trt1,Gene5
2.360487891,per3,trt1,Gene6
1.830575797,per3,trt1,Gene7
1.421058988,per3,trt1,Gene8
2.861987115,per3,trt1,Gene9
2.891133342,per3,trt1,Gene10
3.496652804,per1,trt3,Gene1
2.560247837,per1,trt3,Gene2
1.904422439,per1,trt3,Gene3
3.221089801,per1,trt3,Gene4
3.448437153,per1,trt3,Gene5
2.195174339,per1,trt3,Gene6
1.854853427,per1,trt3,Gene7
1.419064207,per1,trt3,Gene8
2.732770636,per1,trt3,Gene9
2.70226967,per1,trt3,Gene10
3.510098575,per2,trt2,Gene1
2.553670146,per2,trt2,Gene2
1.888339968,per2,trt2,Gene3
3.196569277,per2,trt2,Gene4
3.454052153,per2,trt2,Gene5
2.191878443,per2,trt2,Gene6
1.929063787,per2,trt2,Gene7
1.405268108,per2,trt2,Gene8
2.651035613,per2,trt2,Gene9
2.810023499,per2,trt2,Gene10
3.507651315,per3,trt1,Gene1
2.515200248,per3,trt1,Gene2
2.006524241,per3,trt1,Gene3
3.21384339,per3,trt1,Gene4
3.456216074,per3,trt1,Gene5
2.322949162,per3,trt1,Gene6
2.157587045,per3,trt1,Gene7
1.336077682,per3,trt1,Gene8
2.648000576,per3,trt1,Gene9
2.995480901,per3,trt1,Gene10
3.492089038,per1,trt1,Gene1
2.339302744,per1,trt1,Gene2
2.026785898,per1,trt1,Gene3
